[Tue Feb 21 08:15:59.177257 2017] [autoindex:error] [pid 5440] [client 132.177.241.156:50764] AH01276: Cannot serve directory /web/daw1002/htdocs/: No matching DirectoryIndex (index.html,index.php) found, and server-generated directory index forbidden by Options directive
[Thu Mar 02 15:44:19.327021 2017] [:error] [pid 27655] [client 132.177.241.156:58540] PHP Notice:  Undefined variable: line2 in /web/daw1002/htdocs/index.php on line 61
[Thu Mar 02 15:44:19.327046 2017] [:error] [pid 27655] [client 132.177.241.156:58540] PHP Notice:  Undefined variable: mix in /web/daw1002/htdocs/index.php on line 62
[Thu Mar 02 15:44:19.502763 2017] [:error] [pid 27655] [client 132.177.241.156:58540] PHP Notice:  Undefined variable: line1 in /web/daw1002/htdocs/index.php on line 61
[Thu Mar 02 15:44:19.502778 2017] [:error] [pid 27655] [client 132.177.241.156:58540] PHP Notice:  Undefined variable: line2 in /web/daw1002/htdocs/index.php on line 61
[Thu Mar 02 15:44:19.502786 2017] [:error] [pid 27655] [client 132.177.241.156:58540] PHP Notice:  Undefined variable: mix in /web/daw1002/htdocs/index.php on line 62
[Thu Mar 02 15:48:27.420241 2017] [:error] [pid 25612] [client 132.177.241.156:58570] PHP Notice:  Undefined variable: line1 in /web/daw1002/htdocs/index.php on line 61
[Thu Mar 02 15:48:27.420283 2017] [:error] [pid 25612] [client 132.177.241.156:58570] PHP Notice:  Undefined variable: line2 in /web/daw1002/htdocs/index.php on line 61
[Thu Mar 02 15:48:27.420292 2017] [:error] [pid 25612] [client 132.177.241.156:58570] PHP Notice:  Undefined variable: mix in /web/daw1002/htdocs/index.php on line 62
[Thu Mar 02 15:59:48.751562 2017] [:error] [pid 26608] [client 132.177.241.156:58972] PHP Notice:  Undefined variable: line1 in /web/daw1002/htdocs/index.php on line 61
[Thu Mar 02 15:59:48.751599 2017] [:error] [pid 26608] [client 132.177.241.156:58972] PHP Notice:  Undefined variable: line2 in /web/daw1002/htdocs/index.php on line 61
[Thu Mar 02 15:59:48.751611 2017] [:error] [pid 26608] [client 132.177.241.156:58972] PHP Notice:  Undefined variable: mix in /web/daw1002/htdocs/index.php on line 62
[Thu Mar 02 16:00:07.146132 2017] [:error] [pid 26732] [client 132.177.241.156:58998] PHP Notice:  Undefined variable: line1 in /web/daw1002/htdocs/index.php on line 61
[Thu Mar 02 16:00:07.146163 2017] [:error] [pid 26732] [client 132.177.241.156:58998] PHP Notice:  Undefined variable: line2 in /web/daw1002/htdocs/index.php on line 61
[Thu Mar 02 16:00:07.146171 2017] [:error] [pid 26732] [client 132.177.241.156:58998] PHP Notice:  Undefined variable: mix in /web/daw1002/htdocs/index.php on line 62
[Thu Mar 02 16:02:30.172781 2017] [:error] [pid 26408] [client 132.177.241.156:59046] PHP Notice:  Undefined variable: line1 in /web/daw1002/htdocs/index.php on line 61
[Thu Mar 02 16:02:30.172814 2017] [:error] [pid 26408] [client 132.177.241.156:59046] PHP Notice:  Undefined variable: line2 in /web/daw1002/htdocs/index.php on line 61
[Thu Mar 02 16:02:30.172822 2017] [:error] [pid 26408] [client 132.177.241.156:59046] PHP Notice:  Undefined variable: mix in /web/daw1002/htdocs/index.php on line 62
[Thu Mar 02 16:02:59.626779 2017] [:error] [pid 26937] [client 132.177.241.156:59050] PHP Notice:  Undefined variable: line1 in /web/daw1002/htdocs/index.php on line 61
[Thu Mar 02 16:02:59.626820 2017] [:error] [pid 26937] [client 132.177.241.156:59050] PHP Notice:  Undefined variable: line2 in /web/daw1002/htdocs/index.php on line 61
[Thu Mar 02 16:02:59.626828 2017] [:error] [pid 26937] [client 132.177.241.156:59050] PHP Notice:  Undefined variable: mix in /web/daw1002/htdocs/index.php on line 62
[Thu Mar 02 16:04:25.140132 2017] [:error] [pid 27655] [client 132.177.241.156:59054] PHP Notice:  Undefined variable: line1 in /web/daw1002/htdocs/index.php on line 61
[Thu Mar 02 16:04:25.140168 2017] [:error] [pid 27655] [client 132.177.241.156:59054] PHP Notice:  Undefined variable: line2 in /web/daw1002/htdocs/index.php on line 61
[Thu Mar 02 16:04:25.140175 2017] [:error] [pid 27655] [client 132.177.241.156:59054] PHP Notice:  Undefined variable: mix in /web/daw1002/htdocs/index.php on line 62
[Thu Mar 02 16:04:26.122097 2017] [:error] [pid 27655] [client 132.177.241.156:59054] PHP Notice:  Undefined variable: line1 in /web/daw1002/htdocs/index.php on line 61
[Thu Mar 02 16:04:26.122117 2017] [:error] [pid 27655] [client 132.177.241.156:59054] PHP Notice:  Undefined variable: line2 in /web/daw1002/htdocs/index.php on line 61
[Thu Mar 02 16:04:26.122140 2017] [:error] [pid 27655] [client 132.177.241.156:59054] PHP Notice:  Undefined variable: mix in /web/daw1002/htdocs/index.php on line 62
[Thu Mar 02 16:04:27.626155 2017] [:error] [pid 27655] [client 132.177.241.156:59054] PHP Notice:  Undefined variable: line1 in /web/daw1002/htdocs/index.php on line 61
[Thu Mar 02 16:04:27.626197 2017] [:error] [pid 27655] [client 132.177.241.156:59054] PHP Notice:  Undefined variable: line2 in /web/daw1002/htdocs/index.php on line 61
[Thu Mar 02 16:04:27.626205 2017] [:error] [pid 27655] [client 132.177.241.156:59054] PHP Notice:  Undefined variable: mix in /web/daw1002/htdocs/index.php on line 62
[Thu Mar 02 16:04:28.112297 2017] [:error] [pid 27655] [client 132.177.241.156:59054] PHP Notice:  Undefined variable: line1 in /web/daw1002/htdocs/index.php on line 61
[Thu Mar 02 16:04:28.112337 2017] [:error] [pid 27655] [client 132.177.241.156:59054] PHP Notice:  Undefined variable: line2 in /web/daw1002/htdocs/index.php on line 61
[Thu Mar 02 16:04:28.112346 2017] [:error] [pid 27655] [client 132.177.241.156:59054] PHP Notice:  Undefined variable: mix in /web/daw1002/htdocs/index.php on line 62
[Thu Mar 02 16:04:28.270622 2017] [:error] [pid 27655] [client 132.177.241.156:59054] PHP Notice:  Undefined variable: line1 in /web/daw1002/htdocs/index.php on line 61
[Thu Mar 02 16:04:28.270638 2017] [:error] [pid 27655] [client 132.177.241.156:59054] PHP Notice:  Undefined variable: line2 in /web/daw1002/htdocs/index.php on line 61
[Thu Mar 02 16:04:28.270646 2017] [:error] [pid 27655] [client 132.177.241.156:59054] PHP Notice:  Undefined variable: mix in /web/daw1002/htdocs/index.php on line 62
[Thu Mar 02 16:04:28.459934 2017] [:error] [pid 27655] [client 132.177.241.156:59054] PHP Notice:  Undefined variable: line1 in /web/daw1002/htdocs/index.php on line 61
[Thu Mar 02 16:04:28.459947 2017] [:error] [pid 27655] [client 132.177.241.156:59054] PHP Notice:  Undefined variable: line2 in /web/daw1002/htdocs/index.php on line 61
[Thu Mar 02 16:04:28.459954 2017] [:error] [pid 27655] [client 132.177.241.156:59054] PHP Notice:  Undefined variable: mix in /web/daw1002/htdocs/index.php on line 62
[Thu Mar 02 16:04:36.614559 2017] [:error] [pid 25718] [client 132.177.241.156:59056] PHP Notice:  Undefined variable: line1 in /web/daw1002/htdocs/index.php on line 62
[Thu Mar 02 16:04:36.614587 2017] [:error] [pid 25718] [client 132.177.241.156:59056] PHP Notice:  Undefined variable: line2 in /web/daw1002/htdocs/index.php on line 62
[Thu Mar 02 16:04:36.614596 2017] [:error] [pid 25718] [client 132.177.241.156:59056] PHP Notice:  Undefined variable: mix in /web/daw1002/htdocs/index.php on line 63
[Thu Mar 02 16:06:51.821201 2017] [:error] [pid 26586] [client 132.177.241.156:59062] PHP Notice:  Undefined variable: line1 in /web/daw1002/htdocs/index.php on line 62
[Thu Mar 02 16:06:51.821235 2017] [:error] [pid 26586] [client 132.177.241.156:59062] PHP Notice:  Undefined variable: line2 in /web/daw1002/htdocs/index.php on line 62
[Thu Mar 02 16:06:51.821243 2017] [:error] [pid 26586] [client 132.177.241.156:59062] PHP Notice:  Undefined variable: mix in /web/daw1002/htdocs/index.php on line 63
[Fri Mar 03 14:15:13.383751 2017] [:error] [pid 31547] [client 132.177.241.156:35762] PHP Notice:  Undefined variable: line1 in /web/daw1002/htdocs/index.php on line 62
[Fri Mar 03 14:15:13.383809 2017] [:error] [pid 31547] [client 132.177.241.156:35762] PHP Notice:  Undefined variable: line2 in /web/daw1002/htdocs/index.php on line 62
[Fri Mar 03 14:15:13.383822 2017] [:error] [pid 31547] [client 132.177.241.156:35762] PHP Notice:  Undefined variable: mix in /web/daw1002/htdocs/index.php on line 63
[Fri Mar 03 14:52:15.184998 2017] [:error] [pid 25612] [client 132.177.241.156:36158] PHP Notice:  Undefined variable: line1 in /web/daw1002/htdocs/index.php on line 62
[Fri Mar 03 14:52:15.185026 2017] [:error] [pid 25612] [client 132.177.241.156:36158] PHP Notice:  Undefined variable: line2 in /web/daw1002/htdocs/index.php on line 62
[Fri Mar 03 14:52:15.185052 2017] [:error] [pid 25612] [client 132.177.241.156:36158] PHP Notice:  Undefined variable: mix in /web/daw1002/htdocs/index.php on line 63
[Fri Mar 03 14:52:26.509724 2017] [:error] [pid 26408] [client 132.177.241.156:36166] PHP Notice:  Undefined index: emailaddress in /web/daw1002/htdocs/enter.php on line 3, referer: http://daw1002.sr.unh.edu/index.php
[Fri Mar 03 14:56:24.997416 2017] [:error] [pid 26937] [client 132.177.241.156:36200] PHP Notice:  Undefined variable: line1 in /web/daw1002/htdocs/index.php on line 62
